gent_id,gent_id.1,gent_id.2,gent_id.3,gent_id.4,gent_id.5,gent_id.6,gent_id.7,gent_id.8,gent_id.9,gent_id.10,gent_id.11,gent_id.12,gent_id.13,gent_id.14,gent_id.15,gent_id.16,gent_id.17,gent_id.18,gent_id.19,gent_id.20,gent_id
j,-0.006,-0.0099999999999999,-0.0129999999999999,-0.0153999999999999,-0.0173999999999999,-0.0191142857142857,0.0,0.0,0.0,-0.004,-0.0069999999999999,-0.0093999999999999,-0.0113999999999999,-0.0131142857142856,0.0,0.0,0.0,0.0,0.0,0.0,0.0
j,0.004,0.0393333333333333,0.0616666666666666,0.0750666666666666,0.0838666666666666,0.0867238095238094,0.0,0.0,0.028,0.0993333333333331,0.0993333333333334,0.0993333333333334,0.0993333333333334,0.1002857142857144,0.0,0.0,-0.004,-0.0069999999999999,-0.0093999999999999,0.0,0.0
j,-0.006,-0.0099999999999999,-0.0129999999999999,-0.0153999999999999,-0.0173999999999999,-0.0191142857142857,0.0,0.0,0.0,-0.004,-0.0069999999999999,-0.0093999999999999,-0.0080666666666666,-0.0097809523809523,0.0,0.0,-0.004,-0.0069999999999999,-0.0093999999999999,0.0,-0.004000000000000001
j,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.012,0.012,0.0626666666666667,0.0626666666666667,0.105,0.2856666666666667
j,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
j,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
j,-0.006,-0.0099999999999999,-0.0129999999999999,-0.0153999999999999,-0.0173999999999999,-0.0191142857142857,0.0,0.0,0.0,-0.004,-0.0069999999999999,-0.0093999999999999,-0.0113999999999999,-0.0131142857142856,0.0,0.0,0.0,0.0,0.0,0.0,0.0
j,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.092,0.044,0.044,0.044,0.044,0.101,0.34233333333333377
j,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.004,-0.0069999999999999,-0.0093999999999999,-0.0097333333333333,-0.0100190476190475,0.0,0.0,0.0,0.0,0.0,0.0,0.0
j,-0.006,-0.0099999999999999,0.009,0.0066,0.0046,0.0028857142857143,0.0,0.0,0.0,-0.004,-0.0069999999999999,-0.0093999999999999,-0.0113999999999999,-0.0131142857142856,0.0,0.0,0.0,0.0,0.0,0.0,-0.004000000000000001
j,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.004,0.0913333333333332,0.1454999999999998,0.1874000000000003,0.003,-0.0010000000000000015
j,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
