pop,pop.1,pop.2,pop.3,pop.4,pop.5,pop.6,pop.7,pop.8,pop.9,pop.10,pop.11,pop.12,pop.13,pop.14,pop.15,pop.16,pop
"{Commuter(unique_id=253980595815304187376017239336857392018, geometry=POINT (13460150.964988157 3637892.330339824), status=home, , Commuter(unique_id=216891217811475272648770250169661032687, geometry=POINT (13460150.964988157 3637892.330339824), status=home, , Commuter(unique_id=76690606297691153570144304996042531259, geometry=POINT (13460150.964988157 3637892.330339824), status=home, , Commuter(unique_id=37727327286012387650732743096622078713, geometry=POINT (13460150.964988157 3637892.330339824), status=home, , Commuter(unique_id=129410284331073998680160990573917298850, geometry=POINT (13460150.964988157 3637892.330339824), status=home, , Commuter(unique_id=197954193434821633550930103889390729563, geometry=POINT (13460150.964988157 3637892.330339824), status=home, }",19.0,0.0,7.0,7.0,5.0,2.0,94.0,14.0,0.0,0.0,17.0,17.0,7,19,0,9,9
"{Commuter(unique_id=135369135782879557449236362904774301484, geometry=POINT (13460091.602209402 3637933.483211001), status=home, , Commuter(unique_id=299978737558402495489133778920297189632, geometry=POINT (13460091.602209402 3637933.483211001), status=home, }",33.0,38.0,38.0,23.0,23.0,29.0,14.0,12.0,4.0,6.0,18.0,16.0,19,16,4,15,9
"{Commuter(unique_id=207019200798646060431564230067869541765, geometry=POINT (13460092.867207492 3637888.3971949876), status=home, , Commuter(unique_id=156006222248277929751478428919246798114, geometry=POINT (13460092.867207492 3637888.3971949876), status=home, }",22.0,6.0,1.0,2.0,15.0,15.0,20.0,10.0,16.0,15.0,10.0,22.0,1,10,3,1,14
set(),18.0,6.0,7.0,4.0,12.0,9.0,8.0,6.0,19.0,11.0,8.0,9.0,5,5,15,5,6
set(),19.0,14.0,12.0,10.0,14.0,8.0,7.0,4.0,14.0,11.0,6.0,8.0,10,15,5,16,7
set(),10.0,13.0,3.0,7.0,18.0,18.0,14.0,6.0,4.0,6.0,15.0,11.0,1,16,1,11,3
"{Commuter(unique_id=147096434514372900012019923951708235823, geometry=POINT (13460748.317144698 3637653.2175488947), status=home, , Commuter(unique_id=287203930399329264134770148682074680384, geometry=POINT (13460748.317144698 3637653.2175488947), status=home, , Commuter(unique_id=283556682861356285746896577985466968642, geometry=POINT (13460748.317144698 3637653.2175488947), status=home, , Commuter(unique_id=151419201277209400867519807567649411212, geometry=POINT (13460748.317144698 3637653.2175488947), status=home, , Commuter(unique_id=156083444379883283274438182577346051181, geometry=POINT (13460748.317144698 3637653.2175488947), status=home, , Commuter(unique_id=117951103075391084821914550720413793512, geometry=POINT (13460748.317144698 3637653.2175488947), status=home, , Commuter(unique_id=52833350906673520722993384540684391473, geometry=POINT (13460748.317144698 3637653.2175488947), status=home, , Commuter(unique_id=53430776572263995164659098946613795511, geometry=POINT (13460748.317144698 3637653.2175488947), status=home, , Commuter(unique_id=168960489726998631614641447610630613252, geometry=POINT (13460748.317144698 3637653.2175488947), status=home, , Commuter(unique_id=244521339319580472064325296934435295395, geometry=POINT (13460748.317144698 3637653.2175488947), status=home, , Commuter(unique_id=80932146060821296090234246810090254335, geometry=POINT (13460748.317144698 3637653.2175488947), status=home, , Commuter(unique_id=186952698781174116174515850066334237380, geometry=POINT (13460748.317144698 3637653.2175488947), status=home, , Commuter(unique_id=216200878234149440934162766313869523483, geometry=POINT (13460748.317144698 3637653.2175488947), status=home, , Commuter(unique_id=310333267364472997631838625356131502893, geometry=POINT (13460748.317144698 3637653.2175488947), status=home, , Commuter(unique_id=177549712734990223321638506391366897764, geometry=POINT (13460748.317144698 3637653.2175488947), status=home, , Commuter(unique_id=74787303985547000435872707168363501079, geometry=POINT (13460748.317144698 3637653.2175488947), status=home, , Commuter(unique_id=299448109069118506658965978811537995763, geometry=POINT (13460748.317144698 3637653.2175488947), status=home, , Commuter(unique_id=30066931218720908272823301730429754944, geometry=POINT (13460748.317144698 3637653.2175488947), status=home, , Commuter(unique_id=232624084008323810615398977846919578437, geometry=POINT (13460748.317144698 3637653.2175488947), status=home, , Commuter(unique_id=266158348571968618775235580604142750017, geometry=POINT (13460748.317144698 3637653.2175488947), status=home, , Commuter(unique_id=224154852468601419198047620812091211606, geometry=POINT (13460748.317144698 3637653.2175488947), status=home, , Commuter(unique_id=102673965401011734030983052835756342734, geometry=POINT (13460748.317144698 3637653.2175488947), status=home, , Commuter(unique_id=148337149166642584318809940260489920065, geometry=POINT (13460748.317144698 3637653.2175488947), status=home, , Commuter(unique_id=67476146911292810211232886775438140214, geometry=POINT (13460748.317144698 3637653.2175488947), status=home, , Commuter(unique_id=278041763449896322858121730676766359505, geometry=POINT (13460748.317144698 3637653.2175488947), status=home, , Commuter(unique_id=275143809619285577332790204664880248346, geometry=POINT (13460748.317144698 3637653.2175488947), status=home, }",286.0,286.0,298.0,293.0,307.0,297.0,123.0,132.0,154.0,143.0,152.0,147.0,5,8,12,5,6
set(),15.0,12.0,2.0,14.0,17.0,10.0,18.0,14.0,11.0,16.0,11.0,16.0,17,1,16,12,14
"{Commuter(unique_id=84606367043836860594172844512493763097, geometry=POINT (13460665.43613991 3637672.6778897983), status=home, , Commuter(unique_id=233249978727361179522831896836784070646, geometry=POINT (13460665.43613991 3637672.6778897983), status=home, , Commuter(unique_id=13695305076026606810230478303981432671, geometry=POINT (13460665.43613991 3637672.6778897983), status=home, , Commuter(unique_id=278652210749969676972981823234526871582, geometry=POINT (13460665.43613991 3637672.6778897983), status=home, , Commuter(unique_id=2185430158496865931241488923686162045, geometry=POINT (13460665.43613991 3637672.6778897983), status=home, , Commuter(unique_id=243863846005755785485179503125094007567, geometry=POINT (13460665.43613991 3637672.6778897983), status=home, , Commuter(unique_id=37169375684729663155598822523653374612, geometry=POINT (13460665.43613991 3637672.6778897983), status=home, , Commuter(unique_id=323781035091675232418933998405784996532, geometry=POINT (13460665.43613991 3637672.6778897983), status=home, }",94.0,105.0,100.0,110.0,117.0,111.0,91.0,93.0,104.0,105.0,101.0,98.0,8,14,8,16,8
set(),3.0,12.0,2.0,10.0,15.0,14.0,13.0,15.0,19.0,16.0,6.0,12.0,8,11,6,4,18
set(),15.0,5.0,13.0,0.0,8.0,18.0,9.0,2.0,1.0,3.0,19.0,14.0,10,8,5,16,8
set(),0.0,8.0,1.0,0.0,11.0,4.0,12.0,9.0,16.0,4.0,7.0,11.0,11,6,2,17,13
set(),5.0,16.0,2.0,0.0,8.0,6.0,5.0,15.0,10.0,11.0,3.0,5.0,5,6,15,14,2
"{Commuter(unique_id=297614491277006914402409441456478270914, geometry=POINT (13460522.590842547 3637442.4998325435), status=home, , Commuter(unique_id=119605351884298325111384341908452127159, geometry=POINT (13460522.590842547 3637442.4998325435), status=home, , Commuter(unique_id=280133816792463125763179279530887791171, geometry=POINT (13460522.590842547 3637442.4998325435), status=home, }",51.0,58.0,57.0,40.0,53.0,49.0,49.0,42.0,37.0,46.0,39.0,44.0,18,12,12,19,29
set(),11.0,9.0,3.0,4.0,12.0,2.0,2.0,14.0,1.0,3.0,5.0,5.0,33,25,28,23,20
set(),9.0,4.0,4.0,18.0,19.0,6.0,12.0,8.0,18.0,6.0,9.0,3.0,11,9,16,10,1
set(),13.0,7.0,4.0,8.0,16.0,7.0,5.0,1.0,12.0,4.0,5.0,8.0,2,0,3,4,1
set(),14.0,14.0,0.0,8.0,5.0,0.0,0.0,5.0,7.0,17.0,8.0,16.0,19,7,10,12,12
set(),10.0,18.0,12.0,9.0,14.0,14.0,13.0,9.0,7.0,11.0,17.0,10.0,11,14,4,15,9
set(),19.0,14.0,7.0,8.0,1.0,4.0,13.0,15.0,2.0,4.0,6.0,10.0,14,6,9,14,7
set(),3.0,5.0,15.0,13.0,8.0,13.0,3.0,2.0,15.0,11.0,17.0,10.0,4,15,12,13,18
set(),17.0,1.0,11.0,18.0,12.0,18.0,3.0,6.0,16.0,13.0,2.0,9.0,2,8,18,6,1
set(),9.0,17.0,4.0,8.0,3.0,7.0,10.0,13.0,12.0,3.0,8.0,8.0,7,19,7,10,10
set(),4.0,1.0,10.0,16.0,14.0,5.0,10.0,5.0,6.0,4.0,9.0,13.0,4,6,12,4,4
set(),10.0,15.0,18.0,5.0,16.0,5.0,9.0,17.0,15.0,2.0,15.0,17.0,10,1,6,10,18
"{Commuter(unique_id=164925052900156937439037039331345683424, geometry=POINT (13460509.262736894 3637400.5919631394), status=home, , Commuter(unique_id=290544286103432316638692758773867125563, geometry=POINT (13460509.262736894 3637400.5919631394), status=home, , Commuter(unique_id=36237481791127782712698655435235461766, geometry=POINT (13460509.262736894 3637400.5919631394), status=home, }",41.0,33.0,37.0,30.0,45.0,47.0,57.0,57.0,41.0,58.0,51.0,55.0,2,18,0,17,12
set(),17.0,9.0,5.0,6.0,11.0,11.0,2.0,2.0,6.0,13.0,10.0,10.0,2,4,12,13,2
set(),6.0,4.0,9.0,19.0,1.0,7.0,16.0,6.0,9.0,7.0,9.0,7.0,1,8,16,4,16
"{Commuter(unique_id=136286499694070569224042885566585835135, geometry=POINT (13460287.702960506 3637736.948362342), status=home, , Commuter(unique_id=81151799096451861325688075779939172344, geometry=POINT (13460287.702960506 3637736.948362342), status=home, , Commuter(unique_id=69185218006683560195472628168316061203, geometry=POINT (13460287.702960506 3637736.948362342), status=home, , Commuter(unique_id=11479588248325295935022574664452042924, geometry=POINT (13460287.702960506 3637736.948362342), status=home, , Commuter(unique_id=133430537180620611209319653375123418521, geometry=POINT (13460287.702960506 3637736.948362342), status=home, , Commuter(unique_id=5388440624858740070343279786499590681, geometry=POINT (13460287.702960506 3637736.948362342), status=home, , Commuter(unique_id=305452500279286764138401425041507839579, geometry=POINT (13460287.702960506 3637736.948362342), status=home, , Commuter(unique_id=44274837637367255361946619418513089581, geometry=POINT (13460287.702960506 3637736.948362342), status=home, , Commuter(unique_id=29012044022905366382122511262982237422, geometry=POINT (13460287.702960506 3637736.948362342), status=home, , Commuter(unique_id=200228805647292185610192563175742357478, geometry=POINT (13460287.702960506 3637736.948362342), status=home, , Commuter(unique_id=18697509632812863690521335850557740941, geometry=POINT (13460287.702960506 3637736.948362342), status=home, }",110.0,127.0,115.0,129.0,119.0,114.0,88.0,82.0,70.0,53.0,71.0,66.0,18,18,11,16,18
"{Commuter(unique_id=140153486211247823157379827743474187752, geometry=POINT (13460299.703461902 3637646.501927491), status=home, , Commuter(unique_id=19825192481634693439204449593918176839, geometry=POINT (13460299.703461902 3637646.501927491), status=home, , Commuter(unique_id=34196391877583981477941022314529722424, geometry=POINT (13460299.703461902 3637646.501927491), status=home, }",35.0,39.0,34.0,36.0,47.0,39.0,46.0,47.0,45.0,41.0,48.0,59.0,3,19,10,17,4
set(),13.0,6.0,2.0,1.0,0.0,18.0,0.0,8.0,14.0,7.0,13.0,19.0,19,0,1,6,6
set(),12.0,8.0,6.0,5.0,1.0,14.0,13.0,6.0,14.0,17.0,15.0,7.0,14,15,2,19,5
set(),7.0,9.0,16.0,1.0,16.0,19.0,3.0,16.0,19.0,6.0,4.0,12.0,4,9,1,1,12
set(),9.0,18.0,16.0,13.0,18.0,5.0,18.0,19.0,13.0,13.0,15.0,11.0,11,0,8,14,12
set(),16.0,6.0,7.0,16.0,2.0,9.0,12.0,2.0,12.0,17.0,17.0,0.0,1,6,4,6,6
set(),15.0,16.0,12.0,18.0,5.0,15.0,14.0,4.0,2.0,14.0,12.0,0.0,9,14,15,0,7
set(),5.0,14.0,5.0,4.0,14.0,9.0,18.0,14.0,2.0,17.0,16.0,9.0,36,38,35,19,21
set(),13.0,9.0,7.0,8.0,19.0,17.0,16.0,0.0,2.0,10.0,5.0,2.0,15,10,9,11,5
set(),14.0,15.0,6.0,14.0,4.0,19.0,16.0,1.0,16.0,0.0,17.0,0.0,8,5,14,16,15
set(),7.0,2.0,11.0,7.0,8.0,5.0,0.0,0.0,6.0,8.0,19.0,16.0,3,2,7,16,16
set(),5.0,7.0,13.0,17.0,3.0,18.0,3.0,11.0,0.0,11.0,17.0,14.0,3,2,19,18,11
set(),4.0,5.0,18.0,13.0,5.0,11.0,11.0,11.0,15.0,7.0,14.0,16.0,6,9,13,12,11
set(),10.0,10.0,12.0,10.0,2.0,2.0,9.0,12.0,7.0,2.0,1.0,16.0,2,9,0,29,17
set(),0.0,6.0,1.0,5.0,10.0,8.0,18.0,10.0,16.0,8.0,19.0,7.0,18,2,17,18,12
set(),0.0,10.0,8.0,5.0,12.0,16.0,1.0,10.0,11.0,17.0,17.0,5.0,3,17,2,9,3
set(),4.0,6.0,16.0,7.0,16.0,19.0,18.0,16.0,17.0,4.0,2.0,2.0,1,18,0,0,4
set(),14.0,12.0,0.0,18.0,6.0,17.0,12.0,2.0,16.0,19.0,8.0,3.0,17,1,3,11,3
set(),10.0,12.0,0.0,2.0,1.0,4.0,12.0,10.0,6.0,15.0,14.0,16.0,6,2,11,9,5
set(),9.0,17.0,9.0,17.0,3.0,18.0,14.0,11.0,19.0,1.0,13.0,10.0,12,2,3,3,10
"{Commuter(unique_id=51871939669756980989938746309840670332, geometry=POINT (13460345.357789142 3637540.7614079705), status=home, , Commuter(unique_id=50998857618372803563201013463676055158, geometry=POINT (13460345.357789142 3637540.7614079705), status=home, }",36.0,26.0,27.0,33.0,33.0,23.0,68.0,51.0,51.0,50.0,50.0,58.0,19,0,9,3,8
"{Commuter(unique_id=152186905540025773675519414582166106977, geometry=POINT (13460439.630558355 3637513.4525668137), status=home, , Commuter(unique_id=278116434054401133636093610287590841862, geometry=POINT (13460439.630558355 3637513.4525668137), status=home, , Commuter(unique_id=158417728255277186179184427051531972875, geometry=POINT (13460439.630558355 3637513.4525668137), status=home, , Commuter(unique_id=174289541497104523044495983259994315423, geometry=POINT (13460439.630558355 3637513.4525668137), status=home, , Commuter(unique_id=79362248657943319243613789513538785732, geometry=POINT (13460439.630558355 3637513.4525668137), status=home, }",68.0,57.0,50.0,52.0,62.0,68.0,76.0,93.0,98.0,98.0,88.0,99.0,11,17,4,13,7
"{Commuter(unique_id=114438666312047858725185116522789710275, geometry=POINT (13460379.013904614 3637482.5794574907), status=home, , Commuter(unique_id=86641608651904741732806683398235991380, geometry=POINT (13460379.013904614 3637482.5794574907), status=home, , Commuter(unique_id=329289115717075427296978321081144002706, geometry=POINT (13460379.013904614 3637482.5794574907), status=home, }",57.0,41.0,40.0,46.0,57.0,41.0,39.0,12.0,8.0,18.0,14.0,14.0,15,17,19,6,3
set(),14.0,11.0,4.0,3.0,6.0,16.0,12.0,8.0,2.0,9.0,7.0,8.0,18,19,3,5,28
set(),6.0,6.0,19.0,15.0,16.0,1.0,8.0,14.0,9.0,12.0,6.0,6.0,13,14,7,15,18
set(),16.0,5.0,9.0,9.0,17.0,1.0,10.0,7.0,2.0,2.0,18.0,12.0,42,37,45,4,17
set(),17.0,17.0,18.0,10.0,2.0,7.0,14.0,16.0,19.0,5.0,1.0,15.0,28,18,27,39,39
set(),11.0,4.0,17.0,4.0,2.0,8.0,18.0,5.0,17.0,1.0,5.0,4.0,18,14,14,6,11
"{Commuter(unique_id=101147918025858772196940730562745396927, geometry=POINT (13460441.955594698 3637417.5013982677), status=home, , Commuter(unique_id=14376974732927403352053746205263843323, geometry=POINT (13460441.955594698 3637417.5013982677), status=home, , Commuter(unique_id=77800980837879168540519130660676073329, geometry=POINT (13460441.955594698 3637417.5013982677), status=home, , Commuter(unique_id=339124846188462012919478087096165105780, geometry=POINT (13460441.955594698 3637417.5013982677), status=home, , Commuter(unique_id=120648707988321650317564711027857523182, geometry=POINT (13460441.955594698 3637417.5013982677), status=home, , Commuter(unique_id=304442150305887945388363519620620826514, geometry=POINT (13460441.955594698 3637417.5013982677), status=home, }",62.0,67.0,62.0,63.0,71.0,66.0,39.0,47.0,61.0,62.0,75.0,64.0,6,18,7,7,8
set(),2.0,5.0,16.0,1.0,15.0,10.0,16.0,4.0,2.0,19.0,0.0,11.0,27,14,10,19,18
set(),18.0,15.0,11.0,0.0,6.0,7.0,18.0,11.0,8.0,17.0,0.0,17.0,12,12,12,9,13
set(),17.0,15.0,13.0,18.0,1.0,12.0,10.0,4.0,9.0,1.0,18.0,18.0,6,13,12,19,19
set(),8.0,13.0,14.0,12.0,0.0,19.0,0.0,16.0,2.0,2.0,1.0,18.0,2,14,3,28,24
set(),10.0,18.0,5.0,7.0,1.0,9.0,0.0,2.0,2.0,7.0,16.0,2.0,7,19,10,3,6
set(),12.0,1.0,2.0,5.0,15.0,9.0,17.0,17.0,18.0,5.0,11.0,15.0,0,9,14,11,5
set(),9.0,5.0,9.0,2.0,9.0,1.0,2.0,10.0,1.0,15.0,19.0,2.0,16,19,13,19,19
set(),0.0,9.0,9.0,1.0,4.0,6.0,8.0,13.0,15.0,2.0,4.0,18.0,4,15,4,11,6
set(),11.0,7.0,17.0,8.0,8.0,1.0,19.0,4.0,11.0,2.0,3.0,11.0,18,0,16,31,23
"{Commuter(unique_id=233981690831431058043195109422306288157, geometry=POINT (13460117.162510522 3637799.135591964), status=home, , Commuter(unique_id=255133832706030839890335878878444927119, geometry=POINT (13460117.162510522 3637799.135591964), status=home, }",29.0,46.0,47.0,37.0,38.0,48.0,27.0,31.0,29.0,23.0,31.0,38.0,5,9,7,14,2
set(),5.0,0.0,0.0,4.0,1.0,10.0,3.0,14.0,17.0,0.0,3.0,2.0,9,19,13,6,10
"{Commuter(unique_id=63476783008414906794334359098474158342, geometry=POINT (13460166.967188297 3637786.3217861895), status=home, , Commuter(unique_id=338215220492596472120189618817908612093, geometry=POINT (13460166.967188297 3637786.3217861895), status=home, , Commuter(unique_id=135325102340812285988175473627884996433, geometry=POINT (13460166.967188297 3637786.3217861895), status=home, , Commuter(unique_id=205006287217025706024245831084901269853, geometry=POINT (13460166.967188297 3637786.3217861895), status=home, , Commuter(unique_id=200938427608553220043056988182625801817, geometry=POINT (13460166.967188297 3637786.3217861895), status=home, , Commuter(unique_id=30375161206921498459640605933207457021, geometry=POINT (13460166.967188297 3637786.3217861895), status=home, }",67.0,75.0,64.0,61.0,70.0,70.0,54.0,51.0,66.0,68.0,52.0,50.0,16,25,27,4,0
"{Commuter(unique_id=337378913946674363025944142671437728420, geometry=POINT (13460210.436439527 3637753.3712053215), status=home, , Commuter(unique_id=316243438535920282675859932124294138174, geometry=POINT (13460210.436439527 3637753.3712053215), status=home, , Commuter(unique_id=18433560308087870135343254023666987161, geometry=POINT (13460210.436439527 3637753.3712053215), status=home, }",40.0,42.0,50.0,58.0,65.0,59.0,54.0,57.0,42.0,57.0,55.0,52.0,22,25,24,4,15
set(),9.0,18.0,9.0,2.0,10.0,3.0,17.0,6.0,16.0,3.0,6.0,14.0,19,2,15,10,16
set(),5.0,16.0,0.0,8.0,15.0,19.0,3.0,6.0,14.0,4.0,0.0,16.0,11,9,11,15,19
set(),14.0,15.0,0.0,12.0,4.0,6.0,18.0,0.0,12.0,7.0,3.0,5.0,10,8,18,12,16
set(),7.0,18.0,5.0,7.0,12.0,17.0,13.0,2.0,17.0,18.0,8.0,7.0,10,16,19,7,6
set(),17.0,2.0,7.0,3.0,15.0,14.0,11.0,2.0,3.0,0.0,0.0,10.0,7,10,15,39,32
"{Commuter(unique_id=318729696602803022629692500119353059072, geometry=POINT (13460155.040093007 3637662.7792047122), status=home, , Commuter(unique_id=17431654973762972088464758292264287531, geometry=POINT (13460155.040093007 3637662.7792047122), status=home, , Commuter(unique_id=197211074034090250035580926346235222927, geometry=POINT (13460155.040093007 3637662.7792047122), status=home, , Commuter(unique_id=55403727657473793359718287634026150961, geometry=POINT (13460155.040093007 3637662.7792047122), status=home, , Commuter(unique_id=9957955753162924121923696960789721925, geometry=POINT (13460155.040093007 3637662.7792047122), status=home, , Commuter(unique_id=7519593122430105343208597096379726398, geometry=POINT (13460155.040093007 3637662.7792047122), status=home, , Commuter(unique_id=13898632749551101439173544033331539020, geometry=POINT (13460155.040093007 3637662.7792047122), status=home, }",78.0,87.0,86.0,81.0,80.0,75.0,27.0,35.0,42.0,36.0,41.0,40.0,7,15,1,18,13
set(),9.0,8.0,15.0,19.0,1.0,5.0,15.0,6.0,12.0,1.0,12.0,7.0,2,2,4,19,2
set(),18.0,2.0,14.0,12.0,4.0,0.0,1.0,19.0,18.0,7.0,1.0,13.0,19,12,4,12,9
set(),13.0,11.0,1.0,7.0,12.0,3.0,12.0,13.0,15.0,8.0,15.0,2.0,6,8,10,8,12
"{Commuter(unique_id=274335053175324419653780409872101646251, geometry=POINT (13460194.060426142 3637591.4223002777), status=home, , Commuter(unique_id=39970151385900361051276188615027614970, geometry=POINT (13460194.060426142 3637591.4223002777), status=home, , Commuter(unique_id=197492227953990813273741327828341735935, geometry=POINT (13460194.060426142 3637591.4223002777), status=home, , Commuter(unique_id=68048737415504693666187816291372548329, geometry=POINT (13460194.060426142 3637591.4223002777), status=home, }",51.0,51.0,49.0,54.0,48.0,47.0,55.0,56.0,52.0,53.0,62.0,61.0,19,2,3,7,0
set(),16.0,11.0,14.0,3.0,15.0,8.0,4.0,17.0,5.0,11.0,11.0,4.0,13,7,19,8,12
"{Commuter(unique_id=257662535648427136705537749645960580026, geometry=POINT (13460118.283405349 3637415.8740538466), status=home, , Commuter(unique_id=288725932434394206380507443953408537220, geometry=POINT (13460118.283405349 3637415.8740538466), status=home, , Commuter(unique_id=18467073088155806336824339197730544658, geometry=POINT (13460118.283405349 3637415.8740538466), status=home, }",46.0,44.0,42.0,49.0,44.0,38.0,48.0,60.0,56.0,59.0,50.0,65.0,4,12,17,11,1
"{Commuter(unique_id=38067096288272459942163278800255004049, geometry=POINT (13460251.615767973 3637503.0458612647), status=home, , Commuter(unique_id=139044032464214842496371659429411680539, geometry=POINT (13460251.615767973 3637503.0458612647), status=home, , Commuter(unique_id=337165532670830307491539356881848416829, geometry=POINT (13460251.615767973 3637503.0458612647), status=home, , Commuter(unique_id=255696631083489387384857583833872628857, geometry=POINT (13460251.615767973 3637503.0458612647), status=home, , Commuter(unique_id=226896423824874740246810360213909504636, geometry=POINT (13460251.615767973 3637503.0458612647), status=home, , Commuter(unique_id=130793291495231472838299559326753708924, geometry=POINT (13460251.615767973 3637503.0458612647), status=home, , Commuter(unique_id=321474527254670425482493872112138178082, geometry=POINT (13460251.615767973 3637503.0458612647), status=home, , Commuter(unique_id=229303862911333474576169161277811565778, geometry=POINT (13460251.615767973 3637503.0458612647), status=home, , Commuter(unique_id=148385214707719875614366034479993043693, geometry=POINT (13460251.615767973 3637503.0458612647), status=home, }",122.0,115.0,110.0,128.0,128.0,123.0,139.0,152.0,164.0,153.0,167.0,161.0,8,16,14,6,6
"{Commuter(unique_id=256326952188248767562706740511846686265, geometry=POINT (13460258.925776556 3637429.4746674243), status=home, , Commuter(unique_id=184317877463461830822717966801695042470, geometry=POINT (13460258.925776556 3637429.4746674243), status=home, , Commuter(unique_id=132098798292455632948048324085585600177, geometry=POINT (13460258.925776556 3637429.4746674243), status=home, , Commuter(unique_id=48867127614220960955706192542289455836, geometry=POINT (13460258.925776556 3637429.4746674243), status=home, }",52.0,53.0,48.0,54.0,65.0,68.0,69.0,70.0,72.0,62.0,79.0,77.0,8,19,18,2,15
set(),19.0,9.0,14.0,1.0,12.0,1.0,4.0,1.0,9.0,0.0,0.0,0.0,14,15,15,15,5
"{Commuter(unique_id=238921055106314981759963484612360375809, geometry=POINT (13460338.810898442 3637403.739695182), status=home, , Commuter(unique_id=54073322649007180261091474430539116523, geometry=POINT (13460338.810898442 3637403.739695182), status=home, , Commuter(unique_id=36373298732400492461778698036051058944, geometry=POINT (13460338.810898442 3637403.739695182), status=home, , Commuter(unique_id=14443747222375042921513311530275698108, geometry=POINT (13460338.810898442 3637403.739695182), status=home, , Commuter(unique_id=139227345988113788836281206618625343292, geometry=POINT (13460338.810898442 3637403.739695182), status=home, , Commuter(unique_id=201774121623407413869860785157117096620, geometry=POINT (13460338.810898442 3637403.739695182), status=home, , Commuter(unique_id=80990823041726641524167962340758480287, geometry=POINT (13460338.810898442 3637403.739695182), status=home, , Commuter(unique_id=93604395225894712013113073472842790576, geometry=POINT (13460338.810898442 3637403.739695182), status=home, }",99.0,84.0,89.0,86.0,95.0,80.0,31.0,37.0,20.0,32.0,36.0,33.0,28,15,16,40,47
"{Commuter(unique_id=56085132417142145055775590484161707953, geometry=POINT (13460346.355379155 3637307.7974947817), status=home, , Commuter(unique_id=106267743343467357364270669332954404397, geometry=POINT (13460346.355379155 3637307.7974947817), status=home, }",27.0,24.0,26.0,38.0,47.0,41.0,116.0,120.0,121.0,136.0,139.0,135.0,3,10,4,19,12
set(),11.0,16.0,16.0,15.0,18.0,9.0,0.0,16.0,1.0,19.0,14.0,9.0,29,20,16,18,27
set(),3.0,12.0,19.0,15.0,4.0,16.0,1.0,12.0,7.0,10.0,8.0,7.0,33,22,38,29,10
set(),5.0,18.0,18.0,14.0,11.0,19.0,0.0,1.0,3.0,16.0,11.0,19.0,12,3,16,9,8
set(),7.0,12.0,16.0,2.0,10.0,0.0,18.0,0.0,17.0,17.0,2.0,14.0,33,37,27,15,28
set(),17.0,2.0,16.0,10.0,17.0,4.0,10.0,2.0,3.0,15.0,19.0,1.0,18,5,14,15,28
set(),2.0,18.0,4.0,1.0,1.0,19.0,16.0,3.0,17.0,12.0,4.0,18.0,19,17,17,20,18
set(),16.0,7.0,12.0,11.0,12.0,7.0,3.0,0.0,13.0,2.0,3.0,14.0,15,16,4,15,4
set(),13.0,13.0,18.0,11.0,17.0,12.0,11.0,16.0,4.0,19.0,5.0,11.0,5,19,18,16,17
set(),11.0,15.0,4.0,6.0,6.0,18.0,19.0,10.0,9.0,17.0,11.0,14.0,14,7,7,0,6
set(),7.0,6.0,12.0,17.0,19.0,17.0,18.0,2.0,14.0,14.0,9.0,12.0,2,0,8,11,17
set(),9.0,16.0,2.0,16.0,19.0,6.0,11.0,10.0,19.0,8.0,18.0,19.0,12,16,7,11,16
set(),6.0,9.0,19.0,2.0,13.0,18.0,5.0,9.0,5.0,19.0,2.0,19.0,2,19,0,7,11
set(),1.0,0.0,0.0,15.0,19.0,9.0,5.0,6.0,7.0,6.0,10.0,11.0,9,16,19,18,18
"{Commuter(unique_id=7323590735952995968498634839975363168, geometry=POINT (13460424.761314277 3637279.940350825), status=home, , Commuter(unique_id=312511689803508894073146230883325509793, geometry=POINT (13460424.761314277 3637279.940350825), status=home, }",28.0,29.0,24.0,27.0,4.0,16.0,9.0,10.0,2.0,0.0,15.0,11.0,17,23,19,17,19
set(),5.0,9.0,4.0,16.0,17.0,19.0,6.0,10.0,8.0,3.0,18.0,9.0,15,19,13,35,33
set(),12.0,9.0,13.0,9.0,9.0,4.0,5.0,0.0,0.0,9.0,18.0,18.0,38,25,26,13,21
"{Commuter(unique_id=320696962646881970822099208190219510852, geometry=POINT (13460480.83494713 3637347.287677689), status=home, }",20.0,5.0,1.0,7.0,5.0,14.0,10.0,14.0,6.0,18.0,9.0,19.0,19,4,8,0,5
"{Commuter(unique_id=127311133842868323210374699013925693231, geometry=POINT (13460479.708586883 3637276.1742481217), status=home, }",1.0,17.0,16.0,15.0,4.0,15.0,27.0,16.0,27.0,14.0,24.0,13.0,21,23,24,0,3
"{Commuter(unique_id=39648120746717622137243809464308536744, geometry=POINT (13460504.357123883 3637318.1836098228), status=home, , Commuter(unique_id=40210553191534087155156028618289170018, geometry=POINT (13460504.357123883 3637318.1836098228), status=home, , Commuter(unique_id=65111689617090187197953226711405258194, geometry=POINT (13460504.357123883 3637318.1836098228), status=home, , Commuter(unique_id=118078124212386435641691645748840399563, geometry=POINT (13460504.357123883 3637318.1836098228), status=home, }",46.0,54.0,41.0,46.0,48.0,50.0,61.0,61.0,67.0,50.0,54.0,57.0,22,27,44,51,59
